# analysis 25299 -p8 -GP -d3.9 -u40 -U150 -y65 -Y110 -o 25299.out 
# Crop window: [0, 511; 65, 110] Normalization: 0.912798		a * exp (-((x - x0)/b)^2) + c	PPCI
#filename              param    radius     sigma   contast         N    Ttherm         a         x0          b          c     radial      scatt       CoM     Width    Median  MedWidth
# 25299          0.000000e+00 3.486e+02 2.529e+03 2.422e-01 1.299e+06 2.200e-08 1.495e+04  2.552e+02  4.357e+01  0.000e+00  1.629e+01  9.735e+00 2.608e+02 7.107e+01 2.565e+02 3.700e+01
# error                     0 4.690e+00         0         0 3.278e+04 1.000e-03  2.945e-01  3.922e-01  1.000e-03          0         0 2.019e+01
# 
# z    intNum       Fit     Error       Res
2.170e+02  5.889e+03  6.925e+03  7.079e+02 -1.036e+03
2.180e+02  9.013e+03  7.206e+03  7.103e+02  1.808e+03
2.190e+02  9.640e+03  7.490e+03  7.113e+02  2.150e+03
2.200e+02  1.240e+04  7.777e+03  7.539e+02  4.627e+03
2.210e+02  8.400e+03  8.067e+03  6.890e+02  3.330e+02
2.220e+02  6.685e+03  8.359e+03  7.171e+02 -1.674e+03
2.230e+02  9.347e+03  8.652e+03  7.963e+02  6.949e+02
2.240e+02  1.280e+04  8.946e+03  7.902e+02  3.855e+03
2.250e+02  1.090e+04  9.241e+03  7.819e+02  1.662e+03
2.260e+02  7.103e+03  9.535e+03  6.865e+02 -2.432e+03
2.270e+02  5.517e+03  9.827e+03  6.915e+02 -4.310e+03
2.280e+02  7.645e+03  1.012e+04  8.564e+02 -2.474e+03
2.290e+02  1.199e+04  1.041e+04  9.667e+02  1.579e+03
2.300e+02  1.292e+04  1.069e+04  9.311e+02  2.227e+03
2.310e+02  1.080e+04  1.098e+04  8.070e+02 -1.732e+02
2.320e+02  9.704e+03  1.125e+04  7.469e+02 -1.550e+03
2.330e+02  7.733e+03  1.153e+04  6.872e+02 -3.794e+03
2.340e+02  8.479e+03  1.179e+04  7.270e+02 -3.314e+03
2.350e+02  1.125e+04  1.205e+04  8.518e+02 -8.011e+02
2.360e+02  1.517e+04  1.231e+04  9.980e+02  2.867e+03
2.370e+02  1.461e+04  1.255e+04  9.989e+02  2.054e+03
2.380e+02  1.277e+04  1.279e+04  9.383e+02 -2.227e+01
2.390e+02  1.346e+04  1.302e+04  7.992e+02  4.413e+02
2.400e+02  1.178e+04  1.323e+04  7.812e+02 -1.455e+03
2.410e+02  1.383e+04  1.344e+04  9.509e+02  3.906e+02
2.420e+02  1.666e+04  1.364e+04  1.022e+03  3.026e+03
2.430e+02  1.262e+04  1.382e+04  8.050e+02 -1.200e+03
2.440e+02  1.131e+04  1.399e+04  6.956e+02 -2.679e+03
2.450e+02  1.578e+04  1.415e+04  8.803e+02  1.632e+03
2.460e+02  1.910e+04  1.430e+04  1.063e+03  4.803e+03
2.470e+02  2.058e+04  1.443e+04  1.148e+03  6.152e+03
2.480e+02  2.014e+04  1.455e+04  1.142e+03  5.594e+03
2.490e+02  1.456e+04  1.465e+04  1.107e+03 -9.048e+01
2.500e+02  1.423e+04  1.474e+04  1.130e+03 -5.105e+02
2.510e+02  1.641e+04  1.481e+04  1.165e+03  1.598e+03
2.520e+02  1.184e+04  1.487e+04  9.622e+02 -3.032e+03
2.530e+02  1.041e+04  1.491e+04  8.794e+02 -4.508e+03
2.540e+02  1.061e+04  1.494e+04  9.528e+02 -4.330e+03
2.550e+02  1.337e+04  1.495e+04  1.038e+03 -1.578e+03
2.560e+02  1.740e+04  1.495e+04  1.177e+03  2.454e+03
2.570e+02  1.799e+04  1.493e+04  1.204e+03  3.058e+03
2.580e+02  1.621e+04  1.489e+04  1.255e+03  1.314e+03
2.590e+02  1.438e+04  1.484e+04  1.021e+03 -4.638e+02
2.600e+02  1.215e+04  1.477e+04  8.777e+02 -2.625e+03
2.610e+02  1.195e+04  1.469e+04  9.254e+02 -2.747e+03
2.620e+02  1.397e+04  1.460e+04  9.468e+02 -6.231e+02
2.630e+02  1.511e+04  1.448e+04  9.902e+02  6.223e+02
2.640e+02  1.518e+04  1.436e+04  9.862e+02  8.256e+02
2.650e+02  1.637e+04  1.422e+04  9.746e+02  2.154e+03
2.660e+02  1.524e+04  1.407e+04  8.755e+02  1.177e+03
2.670e+02  1.317e+04  1.390e+04  9.221e+02 -7.345e+02
2.680e+02  1.324e+04  1.372e+04  9.826e+02 -4.832e+02
2.690e+02  1.110e+04  1.353e+04  1.028e+03 -2.432e+03
2.700e+02  8.789e+03  1.333e+04  9.567e+02 -4.539e+03
2.710e+02  1.307e+04  1.312e+04  9.703e+02 -4.500e+01
2.720e+02  1.451e+04  1.289e+04  9.978e+02  1.618e+03
2.730e+02  1.316e+04  1.266e+04  9.754e+02  4.999e+02
